职位编码,职位名称,工作地址,薪资范围,企业性质,公司全称,人员规模,所属行业,职位描述,公司简介
OPS-OPS-0001,岗IT运维硬件,广州·越秀·北京街道,1.2-1.3万·13薪,100-299人,广西卓聘人力资源服务有限公司,人力资源服务,,招聘IT技术支持1.维护公司网络、硬件和软件正常运行。2.快速响应和解决员工技术问题。3.参与信息化项目实施。4.保障公司信息系统安全稳定。有经验者优先，欢迎加入！,
PM-PROJ-0001,项目经理（2025）,广州·黄埔·联和,1.1-2.2万,上市公司,广州西麦科技股份有限公司,100-299人,计算机软件,任职资格：1.2年及以上相关工作经验；2.熟悉南方电网信息化、科技项目管理规章制度和流程，具备南方电网A类信息化项目管理及建设经验，具备项目计划进度、质量、成本管控能力，具备资源规划协调和项目团队管理能力3.有从事电网数字化相关工作经验，有较强的文字能力，有咨询经验优先；4.熟悉运用Word、Excle、PPT、VISIO等软件，或会使用MicrosoftProject软件进行项目管理；5.有良好的客户关系协调能力有较强的沟通能力；6.有较强的学习能力和独立思考能力，有良好的沟通能力和执行能力，抗压能力强，注重团队协作。7.教育部批准的高等学校，计算机、数学、电力电气、工程类、通信、自动化等理工类相关专业本科及以上学历；8.熟悉物联网、视频联网、人工智能、智能运维相关技术，有电网行业相关应用系统产品设计或者项目交付经验。 9.熟悉电网公司信息化项目全流程管控要求； 10.有电网公司一类重点项目或者重点专项工作管理经验优先； 职责描述：1、参与人工智能项目策划、可行性分析、立项、需求分析和计划制定；2、负责项目干系人管理，配合技术团队进行项目交付，收集和了解客户需求，解决客户需求，维护客户关系；3、负责合同管理，跟进合同的交付过程，开展合同验收，把控合同的交付材料，规避审计风险，支撑项目运行；4、负责项目系统流程维护，统筹项目从立项、采购、运行、交付、验收等流程跟进，维护系统数据。,广州西麦科技股份有限公司成立于2003年，2015年11月18日成功挂牌新三板，证券代码为834289。公司注册资金5000万元，现有员工100余人，研发人员占比逾20%。西麦科技致力于提供电力企业的数字化转型解决方案...
MIS-INF-0007,IT工程师,广州·南沙·大岗,6000-12000元,股份制企业,广州豫顺新材料科技有限公司,20-99人,非金属矿物制品业,1.机房运维，服务器维护、关键数据备份、灾备演练； 2.信息安全管理，编制相关资料与应审接待，管理堡垒机、日志审计、漏洞扫描、防火墙、行为管控、终端安全； 3.桌面运维，PC/笔记本、外设（打印机、投影仪、视频会议终端等）的安装调试与维护； 4.云桌面系统管理、虚拟机模板维护、用户增减、软件分发、补丁管理； 5.ERP、OA、企业邮箱、考勤门禁维护、员工账号权限管理； 6.网络管理，三层交换机ACL、NAT、路由配置，线路故障修复； 7.信息化软硬件采购技术选型、检测验收、资产在库管理等； 8.视频监控系统管理，视频通道码流配置、权限分配； 9.网站域名管理、内容发部，对外宣传资料协调制作； 10.组织信息技术培训； 11.服务合同的询比价与经办； 12.完成领导安排的其他工作。       任职要求：    1.计算机或网络等相关专业，统招本科以上学历，3年以上IT运维工作经验；  2.熟悉和掌握各种计算机硬软件，可独立进行安装、调试及故障排除； 3.了解ERP系统运行原理，有金蝶相关工作经验优先；     4.熟悉数据库，有简单的数据处理能力；    5.熟悉信息化系统维护工作；     6.善于沟通，有较强的学习能力，执行力强；    7.团队合作观念，高度的责任感，良好的职业操守；    8.工作细心，有独立完成项目的能力；    9.能适应经常出差。,豫顺新材是一家集专业从事无机非金属粉体材料及表面处理等系列产品的研发、生产、销售及技术服务于一体的国家高新技术企业。公司拥有粉体超细研磨、精密分级、表面包覆到复配混合等一系列自动化生产设备及检测仪器...
DEV-BE-0002,后端开发,广州·海珠·官洲,1-1.4万,上市公司,软通动力信息技术(集团)股份有限公司,10000人以上,互联网,"工作职责1.参与产品需求技术可行性分析以及服务端的开发工作;2.深入理解业务需求，提供具体问题的解决方案，解决开发中所遇到的技术难题;3.负责相关模块的开发和改进，编写相关文档，保证系统性能和稳定性。 任职要求： 1. 5年相关工作经验，计算机、软件、通信等相关专业优先 2. 具备扎实Java知识体系，熟悉设计模式,具备常规数据结构和算法基础; 3. 熟悉Java Web开发基本框架, 例如Spring、Mybatis、SpringBoot、SpringCloud、Dubbo 等主流的开源框架; 4. 熟悉数据库相关知识, 如Mysql,了解NoSQL、 key-value存储原理,熟悉消息中间件以及缓存 技术(RabbitMQ、Redis等); 5. 思维条例清晰,学习能力强,具有良好的沟通协调能力, 团队精神; 6. 熟悉工作流, 有对复杂业务流程优化有经验者优",软通动力信息技术（集团）股份有限公司（以下简称“软通动力”）是中国领先的全栈智能化产品与服务提供商，2005年成立于北京，始终坚持创新，致力于成为一家具有全球影响力的科技企业。公司提供软件与数字技术...
MIS-INF-0008,财务信息化专员,广州·天河·车陂,1.2-2.4万·15薪,上市公司,中望软件,1000-9999人,计算机软件,一、岗位职责1.BI 工具全流程管理：收集报表需求，设计技术方案；对接财务及业务系统数据库，编写 SQL/Python 脚本实现 ETL；根据需求搭建可视化仪表盘，并不断迭代；提供操作培训与技术支持，负责日常运维。2.RPA 自动化体系建设：主导 RPA 需求调研；开发迭代 RPA 脚本，进行函数封装以实现复用；组织技术培训与答疑；开发RPA脚本实现其他脚本运行状态的自动化监控。3.财务系统运维支持：负责金蝶、Eteams 等系统财务相关功能模块的日常运维，涵盖权限配置、功能调试、数据备份与恢复、故障排查，协同跨部门保障系统支撑财务工作。4.财务信息化项目支持：主导或参与财务信息化项目，完成需求分析、方案设计与落地；跟踪行业信息化动态，开展新系统/功能的评估与选型研究，辅助决策。二、任职要求 1.教育背景：本科及以上学历，计算机、软件工程、信息管理、数学、统计学等相关专业；  2.工作经验：2年以上BI工具（Tableau/Power Bl/FineBl等）的系统开发、项目实施或系统运维经验；  3.专业能力：熟练掌握SQL开发及优化，精通MySQL等主流数据库；掌握ETL工具，熟练运用 Python编写脚本；具备从0-1搭建BI报表能力；  4.综合素质：逻辑清晰，能快速转化模糊业务需求为清晰技术方案；擅长跨部门沟通协调；主动学习、快速上手新工具 / 技术；工作严谨、责任心强，抗压能力佳。,广州中望龙腾软件股份有限公司是领先的All-in-One CAx（CAD/CAE/CAM）解决方案提供商、国内A股研发设计类工业软件上市企业（股票代码：688083），专注于工业设计软件超过20年，建立了以“自主二维CAD、...
MIS-INF-0009,IT工程师,广州·白云·云城,1-1.5万,上市公司,江苏海四达电源有限公司,1000-9999人,新能源,岗位职责：1.负责公司内部信息化建设及维护；2.负责公司Helpdesk技术支持，有效且快速的解决电脑桌面类问题；3.负责公司计算机硬件的安装调试、日常维护及管理4.熟悉电脑周边设备（服务器、路由器、打印机、投影仪、电话等）等设备管理，以及网络平台的运行监控及维护；5.通过分析业务现状，提出自己的优化方案，并协调供应商解决问题6.办公设备的日常维护及管理，技术档案建设及维护，协调配合其他部门完成办公人员门禁、餐饮消费等系统维护7.负责病毒的查杀，维护网络系统安全，公司网络安全体系建设，系统安全评估与加固职位要求：1.计算机或IT相关专业，本科及以上学历2.3年以上的Helpdesk或相关工作经验，了解ITIL工作流程，熟悉ITIL的主要工作内容3.能快速排查软件、硬件故障，具有较强的责任心，具有快速学习能力，具备团队协作精神4.具备良好的服务意识与职业素养，具备良好的沟通能力和语言表达能力5.熟悉Windows、Linux系统及相关硬件的基本知识熟悉VPN、AC、路由器、交换机等网络设备的设置与管理6.熟悉Linux基础命令，有虚拟化搭建经验、kvm搭建及管理经验或会简单编写网站html能力加分7.熟悉局域网配置、网络管理、网络维护及网络故障的排除；具有多行业软件安装和维护经验者优先,上海普利特复合材料股份有限公司（股票代码：002324）同时拥有全球6大新材料生产制造基地(上海青浦、上海金山、浙江嘉兴、重庆铜梁、广东东莞、美国南卡州)、4大新能源材料生产制造基地(江苏南通-4家)，是一...
MIS-INF-0010,信息处负责人,广州·黄埔·龙湖,1.5-2.5万·13薪,其它,广州商学院,1000-9999人,学校/学历教育,学校信息部负责人是一个专业性很强的管理岗位，需要综合技术、管理、战略眼光和对教育行业的理解。1、专业背景：计算机科学与技术、软件工程、网络工程、信息与通信工程、网络空间安全、电子信息工程等信息技术相关专业。2、职称与认证：中级及以上职称；拥有高级软考证书、CISP等安全认证者优先。3、工作经验：3-5年及以上相关信息化工作经验，熟悉智慧校园建设、网络与信息安全；具备团队管理经验（通常3年以上），包括任务分配、绩效考评、预算管理、项目推进等，有独立负责或核心参与高校信息化项目建设（如一卡通、数据中心、网络升级改造、网络安全体系构建等）的优先。4、核心能力：信息化规划与战略执行力、技术实施与运维保障能力、团队管理与跨部门协作能力、良好的沟通协调能力。1）规划与战略思维：能制定学校信息化的中长期发展规划，并推动落实。2）技术洞察与运维保障：需要广泛的技术知识面，涵盖网络、服务器、操作系统、数据库、信息安全等领域，并能领导团队保障系统稳定安全运行。3）项目管理与协调：具备信息化项目的立项、采购、实施、验收全流程管理能力。需要频繁与校内各部门、上级单位以及外部供应商协调，强大的沟通协调能力不可或缺。4）网络安全与数据管理：网络安全是生命线。信息部负责人需深刻理解网络安全等级保护制度，具备安全防护、风险排查和应急响应能力。5、个人素质：为人正直、政治觉悟高、党员优先；责任心强，服务意识好，有学习与创新精神。,广州商学院前身是华南师范大学增城学院，坐落于粤港澳大湾区东北部的“中新广州知识城”，该区域是由广东省和新加坡合作打造、引领产业转型升级的国家级双边合作项目，教育、科研及产业资源汇聚，地理位置得天...
PM-PROJ-0002,项目经理,广州·越秀·建设街道,9000-11000元,民营,河南海融软件有限公司,300-499人,IT服务,1.统招本科及以上学历，计算机等相关专业毕业；2.3年及以上大数据相关项目管理工作经验，有公检法、政务类、省市大数据建设经验者优先；3.熟悉云计算、大数据整体架构、关键技术及未来发展趋势，对政府大数据信息化有深刻的认知与理解；4.有较强的产品思维，能够熟悉使用原型软件；5.具备较强的责任心，良好的团队合作能力，较强的文档编写和优秀的表达能力，掌握常用的项目管理工具；6.较强的计划制定、执行能力和承压能力，有激情解决具有挑战性的问题；7.有较强抗压能力、能适应长短期出差优先；8.有研发经验，具备PMP、信息系统项目管理师等相关资质者优先。,海融集团（简称海融）成立于2011年，致力于为交通、电商、金融、物流、移动电信、能源制造、高校教育等领域全球客户提供领先的IT技术服务与解决方案。目前，集团下设有河南海融软件有限公司、河南海融教育科技...
DEV-BE-0003,中级Java开发（需出差）,广州·越秀·北京街道,1.4-1.8万·14薪,上市公司,美的集团,10000人以上,工业自动化,"岗位职责： 1、负责公司产品的整体系统架构设计，确保系统稳定、高效、可扩展;2、基于公司产品，能带领团队完成客户项目的交付，确保交付过程的进度与质量;3、针对不同的业务场景，选择合适的技术方案，包括但不限于Spring Boot, Dubbo等框架;4、负责MySQL数据库的设计、优化及管理，确保数据的完整性、一致性和高效访问。熟悉并实施高级特性，如分库分表、读写分离等;5、深入研究和实施微服务架构，包括服务治理、服务发现等关键技术。熟练使用常用的中间件，包括但不限于RocketMQ,Redis;6、对系统的性能进行优化，能适当引入新技术解决现有技术问题。任职要求：1 、本科及以上学历，计算机或相关专业；2.、年以上Java开发经验，其中至少2年以上团队管理经验。能负责核心模块的设计和开发；3、对微服务架构有深入的理解，熟悉服务治理、服务发现等关键技术；4、熟悉RocketMQ、Redis等常用中间件的使用和优化；5、有大型分布式系统设计经验者优先； 6、熟悉渠道系统、会员系统、电商系统的业务流程优先。","于1968年成立于中国广东，美的如今是一家覆盖消费电器、暖通空调、机器人与自动化系统、创新业务四大板块业务的全球科技集团，在全球拥有约200家子公司、约150,000名员工，业务涉及200多个国家和地区。美的..."
PM-PROJ-0003,项目经理,广州·天河·冼村,1.5-2.5万,国企,广州数据集团有限公司,20-99人,云计算/大数据,【工作内容】1、负责项目的全生命周期管理，能独立完成项目实施工作，协调解决项目的问题，推动项目正常进行与交付。2、对项目验收工作全面把控，确保质量符合招标文件要求、客户要求、国家规范要求。3、协调与项目各环节相关的沟通事项，与相关部门建立良好的工作关系。4、做好所负责项目统计整理，及时更新项目台账信息。5、及时完成上级领导交办的其他工作。【任职要求】1、本科及以上学历，计算机、电子信息、自动化类相关专业。2、持有高级信息系统项目管理师或同等证书优先。3、5年以上信息化、IT、集成类项目管理经验，具有政府类项目管理经验者优先。4、熟悉Project等项目管理工具的操作和使用，熟悉IT软件系统的主流架构，熟悉各种开发语言，有开发工作经验优先。5、具有良好的沟通表达能力和文案编写能力，具有较强的逻辑思维能力和学习能力。,广州数据集团成立于2023年9月，注册资本100亿元。公司秉承母公司广州数字科技集团深耕电子信息领域近70载的专业历史底蕴，顺应数字经济发展大潮，围绕算力中心建设运营与公共数据开发利用，立足产学研用协...
