职位编码,职位名称,工作地址,薪资范围,企业性质,公司全称,人员规模,所属行业,职位描述,公司简介
MIS-INF-0027,技术专员（CFTO）,广州·南沙·东涌,9000-18000元,事业单位,香港科技大学(广州),1000-9999人,学校/学历教育,"Job Title: Technical Officer 技术专员（CFTO）Department: CFTO, HKUST(GZ)Job Posting DetailsFormally established in June 2022, the Hong Kong University of Science and Technology (Guangzhou)(HKUST(GZ)) is a cooperatively-run university between the Chinese mainland and the Hong Kong Special Administrative Region. HKUST(GZ) has obtained approval from the Ministry of Education (MoE) and become the first legally-independent educational institution co-established by the Mainland and Hong Kong since the announcement and implementation of the “Outline Development Plan for the Guangdong-Hong Kong-Macao Greater Bay Area” and the “Overall Plan for Deepening Globally Oriented Comprehensive Co-operation amongst Guangdong, Hong Kong and Macao in Nansha of Guangzhou”. With a spirit of pioneering innovation, HKUST(GZ) charts new territories in cross-disciplinary education and explores new frontiers in pedagogies, aiming to serve as a role model of the mainland-Hong Kong integrated educational development and become a world-famous high-level university, endeavoring to nurture future-oriented, high-level and innovative talents.In response to the increasingly complex challenges faced by the rapidly changing world, HKUST(GZ) adopts a brand-new and cross-disciplinary academic structure featuring “Hub” and “Thrust” to substitute the conventional one characterized by “school” and “department”, facilitating cross-disciplinary integration while vigorously developing emerging and frontier disciplines. This is a groundbreaking move in the higher education community across the globe.工作职责The successful candidate will play a flexible and comprehensive technician role within the CFT Office. While the primary responsibilities may focus on one or several key technical areas, the role requires the ability to competently support and carry out tasks across all the following functions as needed:1. Design, implement, and manage robust database systems and data analytics platforms, including building solutions from the ground up as needed. 2. Develop, deploy, and maintain integrated IT systems and digital solutions to support academic and administrative functions of the college. 3. Provide technical expertise in software development, system integration, and IT infrastructure to ensure reliable and scalable system performance. 4. Monitor, troubleshoot, and optimize database and application performance; ensure data integrity, security, and compliance with university policies. 5. Collaborate with faculty, researchers, and staff to understand technical requirements and deliver tailored system or data solutions. 6. Document system architectures, configurations, and operational procedures; provide clear technical guidance and training when required. 7. Demonstrate initiative, attention to detail, and a strong commitment to delivering high-quality technical services in support of the college’s mission. 任职要求:1. Bachelor’s degree or higher in Computer Science, Information Technology, or a related field.2. Minimum of 3 years of proven experience as a Project Manager in an IT environment and prior work at a top-tier IT company preferred.3. Practical knowledge and hands-on experience in digital solutions, strong proficiency in programming and AI development.4. Experience in database management, preferably with a track record of designing and implementing database and analytics platforms from scratch.5. Strong technical background with a solid understanding of software development, system integration, and IT infrastructure.6. Strong analytical and problem-solving abilities with keen attention to detail.7. Fluency in both English and Chinese, with effective oral and written communication skills in both languages.8. Strong sense of responsibility, high personal standards, and self-motivation.",香港科技大学（广州）是一所经国家教育部批准设立的内地与香港合作大学，是《粤港澳大湾区发展规划纲要》及《广州南沙深化面向世界的粤港澳全面合作总体方案》颁布实施以来成立的首家具有独立法人资格的内地与香港...
DEV-BE-0020,赴日软件工程师,广州·越秀·北京街道,1.5-3万,其它,阳光软件株式会社,100-299人,计算机软件,【招聘】赴日软件工程师公司名称：阳光软件株式会社技能要求：1，日语3级以上（能进行日常会话、能正确理解设计书内容，有过1年以上对日开发经验或有日语能力2级以上资格证书优先录用）2，对以下任何一门开发语言有1年以上开发经验、或计算机专业毕业、或日语一计算机专业毕业：JAVA，.NET，C#，C++/C，SAP，PHP，COBOL，IOS，Android等。有上述开发语言资格证书、oracle金银牌、CCNA或CCNP等计算机软硬件相关证书者可酌情优先录用。3，要求身体健康，有敬业精神，对工作认真负责，能主动积极应对各项任务，能听从指挥，不消极找借口等、靠、要，诚实守信，做事耐心，人品正直。工资和待遇：◆正社员基本工资18~100万日元（根据个人能力和业绩决定，已在日人员可上浮5~10万日元）各项福利待遇：日本厚生年金＋国民健康保险+劳灾和失业保险+交通费＋加班费（根据项目确定）+年终奖金◆契约社员25万日元起（根据个人能力和业绩决定，已在日人员可上浮5~10万日元）+交通费＋加班费（根据项目确定）职位福利：交通补助、绩效奖金、加班补助、带薪年假、定期体检、员工旅游、节日福利、周末双休,"阳光软件株式会社（以下简称阳光软件）位于日本东京，公司自成立以来，致力于以信息技术服务为主、为客户提供高质量的全面解决方案；公司以技术为本，主要涉及业务领域有Salesforce, BigData, Artificial Intelligenc..."
DEV-GEN-0007,软件工程师,广州·黄埔·联和,6000-10000元,民营,广州市纬桐晟安科技有限公司,20-99人,电子设备制造,【岗位职责】：1、贯彻落实公司的各项管理制度，负责软件项目的管理工作；2、根据客户提案和市场提案需求分析，系统设计，软件研发，集成测试，安装部署以及运行维护；3、客户业务系统提案、系统产品实施咨询；4、至少1年以上python平台开发经验，熟悉相关业务系统或软件产品；5、有自动化开发软件经验进为佳。【岗位要求】:  1、计算机科学与技术、计算机应用、计算机软件等专业；2、具备计算机、信息管理、程序设计语言、数据库、数据结构、数据分析、通讯基础等知识；3、熟悉Visual studio及python平台，熟悉java，熟悉各种主流语言; 熟悉SQL Server数据库；能够完成IT项目的全过程管理，包括人员管理、系统管理、文档编写等工作；4、至少1年以上自动化管理软件项目开发经验，从事电力项目者优先；5、勤奋踏实，善于思考、工作严谨细致、有责任心、有系统分析员、师、信息系统项目管理师证书优先。,广州市纬桐晟安科技有限公司是专业从事光纤传感技术研发、生产、销售、方案设计和工程施工督导等一体化服务的科技型技术企业，公司核心团队拥有十年以上的项目从业经验，主营业务集中于电力电厂，公路隧道，综合...
DEV-GEN-0008,驻场开发工程师,广州·越秀·北京街道,8000-11000元,其它,广东广安信息发展公司,100-299人,网络/信息安全,"岗位职责：1.负责基于Java技术栈的业务系统设计、开发、测试与维护工作；2.参与需求分析和技术方案设计，编写规范的设计与开发文档；3.使用达梦数据库进行数据模型设计、SQL开发与性能优化；4.在国产化部署环境中，基于中创中间件（InforSuite应用服务器等）进行应用的部署、配置与集成；5.分析和解决开发及生产环境中的技术问题，保障系统的稳定性与性能；6.遵循代码规范，参与代码审查，确保代码质量与项目进度。任职要求：1.本科及以上学历，计算机相关专业，具有2年及以上Java开发经验；2.熟悉主流Java开发框架，如Spring Boot, Spring Cloud, MyBatis等；3.熟练掌握达梦数据库的SQL开发、存储过程编写、性能调优及数据迁移经验；4.熟悉中创中间件系列产品，具备在其上进行应用部署、配置管理和问题排查的实际经验；其他要求：1.具备良好的逻辑思维能力、问题分析与解决能力；2.具备强烈的责任心、团队协作精神和良好的沟通能力；3.能适应快节奏的工作，有较强的学习能力和自我驱动力； 4.有国产化替代项目、政府/金融/能源等行业项目经验者优先。 职位福利：六险一金、带薪年假、定期体检、餐补、交通以及通讯补助、年底双薪、节日福利等。","公司简介广东广安信息发展公司(以下简称“广安公司”)是具有独立法人资格的广东省公安厅直属集体所有制企业,成立于1993年，注册资金为人民币1000万元整，目前在职员工240多人。主要从事信息技术咨询服务..."
DEV-BE-0021,Java高级开发工程师,广州·海珠·官洲,1.6-2万,上市公司,一品红药业集团股份有限公司,1000-9999人,医药制造,岗位职责：1.负责公司核心业务系统的全栈开发，包括前端Vue应用和后端Java服务；2.参与高并发系统的架构设计、性能优化和技术选型；3.编写高质量、可维护的代码，确保系统稳定性和扩展性。任职要求：1. 计算机及相关专业本科及以上学历；2. 6年以上Java开发经验，有高并发系统开发经验，具备Vue2、Vue3开发经验，能独立完成前后端开发任务。技术要求：1.精通Spring Boot、Spring Cloud、MyBatis等框架；2.熟悉Vue2、Vue3、Vite、Element、JavaScript等；3.熟练掌握MySQL、Redis、RabbitMQ/Kafka等中间件，了解其原理；4.熟悉微服务架构、分布式系统设计原则，有高并发处理经验；5.熟悉企业微信、微信小程序、公众号等开发。,一品红药业股份有限公司（ApicHope，300723.SZ）创建于2002年，2017年在深交所挂牌上市，现有员工约1700人，是一家聚焦于儿童药、慢病药领域的创新型生物医药企业。公司建成5万多平方米的办公总部、6...
DEV-BE-0022,高级java工程师,广州·番禺·化龙,面议,上市公司,中软国际,10000人以上,计算机软件,"岗位职责：1、负责公司核心业务系统及 SaaS 化平台的后端设计、开发与维护工作。2、参与微服务架构的设计、拆分、实现与优化，保障系统的高可用、高并发、可扩展性及安全性。3、深入理解 SaaS 业务模型，参与设计和实现多租户、租户隔离、计量计费、配置化等核心特性。4、编写高质量、可维护、可复用的代码，遵循团队代码规范和最佳实践。5、参与技术难题攻关，性能调优，解决线上问题，保障系统稳定运行。6、与产品经理、前端工程师、测试工程师紧密协作，确保项目按时高质量交付。7、编写清晰的技术文档，参与代码评审，分享技术经验，促进团队技术成长。任职要求：1、计算机相关专业本科及以上学历，5 年以上 Java 后端开发经验。2、精通 Java 语言及核心生态，深入理解 JVM 原理、多线程、集合框架、IO/NIO、网络编程等。3、精通 Spring Boot 框架，熟练掌握其自动配置、Starter、Actuator 等特性，有丰富的项目实战经验。4、精通 Spring Cloud 微服务框架及其核心组件。5、熟练掌握关系型数据库（如 MySQL, PostgreSQL）的设计、开发与性能优化。6、熟悉至少一种主流 NoSQL 数据库（如 Redis, MongoDB）的应用场景及优化。7、熟悉常用消息中间件（如 RabbitMQ, Kafka, RocketMQ）的原理与应用。优先考虑：相关开发经验：1. 有租户管理、租户生命周期管理、租户配置隔离等模块的设计与开发经验。2. 了解 SaaS 产品的用户体系、权限模型（如 RBAC）、计量计费、配置化等核心概念及实现。3. 理解 SaaS 平台的可扩展性、可定制性需求。加分项：1. 熟悉容器化技术（Docker）及容器编排（Kubernetes）。2. 熟悉云服务平台（阿里云，腾讯云、华为云等）的常用服务。3. 有分布式缓存、分布式事务（Seata 等）、分布式锁的实践经验。4. 熟悉 Elasticsearch 或其他搜索引擎技术。5. 了解 DevOps 理念和工具链（如 CI/CD: Jenkins, GitLab CI）。6.有技术管理背景或带领开发团队经验优先",中软国际是行业领先的全球化软件与信息技术服务企业，成立于2000年，为香港主板上市公司（股票代码：00354.HK），拥有中国分支40+、海外分支14个，拥有员工超过9万人，服务覆盖超过40个国家。中软国际...
OTH-OTH-0016,广州晚上没事干！就来歪马送酒+APP推广！兼职只送酒！0元入职！单多全城就近安排,广州·白云·龙归,1.1-1.2万,股份制企业,成都歪马科技有限公司,1000-9999人,电子商务,酒水门店全职+兼职招聘，全城就近安排，专人带教超省心【全职店员2名】负责门店货品陈列、促销推广，酒水配送等日常工作无经验可教，月综合薪资7000-12000，付出即有回报【夜间兼职配送2名】专属酒水配送，不参与门店任何杂事，时间灵活要求：每天能做5小时，会骑电动车/摩托车即可薪资：全职薪资的一半左右，适配白天有工作的小伙伴想入职的直接点我头像私聊详情！,歪马送酒是美团旗下的酒水即时零售品牌，经营品类涵盖啤酒、白酒、红酒、洋酒四大品类。通过与酒水品牌直接合作，严控供应链，自建配送体系，给前置仓配货，商家在小程序和外卖平台为用户提供平价、保真、平均...
DEV-EMB-0003,机器视觉上位机软件开发工程师,广州·番禺,1-1.3万,民营,广州市比美高智能系统科技有限公司,20-99人,通用设备制造,"上班地点：番禺区石基镇前锋南路（3号线B出口步行10分钟到公司） 岗位内容： 1. 开发与后期维护修改项目；熟练使用C/C++/C#，等其一种语音； 2. 参与需求分析、设计以及系统测试和维护,对数据结构与算法有深入理解; 3. 研究新的技术方案，并持续优化现有系统,具有与下位机交互项目经验； 4. 有良好的编码习惯及相关技术文档的编写，熟练使用计算机通信接口及简单的基础电路； 5.熟悉TCP、HTTP、串口通信协议等常用通信协议； 6.精通halcon或者opencv视觉算法库开发; 7.使用并开发过标准视觉应用软件框架结构者优先; 8.具备深度学习库例如pytorch、halcon、YOLO、paddle等调试和开发经验，有模型设计经验者优先; 9.熟悉机器视觉行业或图像处理方面，能对相机光源和镜头选型并能提供解决方案; 10.工作责任心强、主动性高，有良好的团队协作能力和沟通能力; 11.接受区域性短时间出差。 职位福利：五险、出差交通补助、餐补、绩效奖金、全勤奖",广州市比美高智能系统科技有限公司与锐视公司联合招聘，坐落于广州一线城市，获得多项国家技术专利，其核心技术处于国际领先水平。公司致力于专业从事溯源关联应用、激光生产与应用、整体后道包装生产与赋码应用...
DEV-MOB-0002,安卓APP开发（车载）,广州·番禺·化龙,1.2-2.3万,20-99人,南京悦世耀科技有限公司,互联网,,"基于安卓原生框架开发车辆控制动 APP，实现与智能座舱中控系统的通携乐信(通过蓝牙/Vi-Fi/车载总线协i义)·调用智能座舱提供的接口(如RESTful API socket或车规级协议）完成对车辆门窗、摄像头、空调等设备的控制功能开发。集成分布式通信框架(如Android automotive或厂商自定义SDK)，实现多设备协同(如手机与车机联动)·优化APP性能，确保低延迟、高可靠性的控制指令传输。·配合测试团队完成功能验证及用户场景测试。熟悉Java/Kotlin，掌握AIDL、Binder等跨进程通信机制。·有车机互联(CarPlay/Android Auto,或IoT设备控制类APP开发经验优先熟悉车载通信协议(如CAN/LIN、MQTT、）了解车辆ECU控制逻辑。·熟练使用AndroidStudio、ADB调试工具及抓包工具(Wirethark/Charles)。AR加分项:熟悉AutoCAR架构或车载系统安全规范（如ISO21434)。·熟悉RK3588开发平台",
DEV-GEN-0009,助理开发工程师（实习岗）,广州·越秀·登峰,120-150元/天,其它,中成(广东)供应链管理有限公司,20-99人,贸易/进出口,"任职要求： 1. 大专或以上学历，计算机、软件、测试、网络、信管等计算机相关专业优先，其它跨专业优秀者亦可考虑。 2. 熟悉使用Java, 熟悉Springboot，SpringCloud等后端框架。 3. 熟悉前端技术栈，但不仅限于三大件及Vue.js前端框架，熟悉Uniapp跨平台开发框架并具备实际项目经验优先。 4. 掌握SQL Server、My SQL等数据库技术，能进行复杂的sql业务需求处理者优先。 5. 熟悉Git版本控制工具的基本操作。 6. 对AI具有探索热情，有兴趣应用大模型到实际项目中。 7. 对新技术新工具保有好奇和学习之心，具备较强的学习能力。 8. 做事严谨踏实，责任心强，条理清楚，理解能力强；具备良好的团队合作精神和沟通能力，能够快速融入团队；有良好的逻辑思维能力和问题解决能力，对软件开发有浓厚兴趣。 职位描述： 1. 配合项目经理开展系统开发工作。 2. 执行公司软件项目开发、测试及部分日常运维工作。 3. 快速学习和理解公司业务流程，在指导下参与项目需求收集、分析、设计等工作。 4. 学习并尝试应用新技术和工具，支持公司业务发展需求。 5. 完成主管领导交待的其他开发相关工作。 上班时间：08：30-17：30（午间休息1.5小时，中午包餐），周末双休 工作地址：广东省，广州市，越秀区 实习标准：120-150元/工作日，营养午餐 实习要求：5个工作日/周 在实习期间，公司将根据学习情况进行考核，择优转正",中成（广东）供应链管理有限公司(以下简称“中成广东”)于2020年8月在广州市南沙自贸区注册成立。中成广东是中成国际运输深圳有限公司(以下简称“中成深圳”)的全资子公司，是基于中成深圳发展战略部署下设置的...
DEV-FS-0003,全栈软件开发工程师,广州·南沙·南沙,6000-8000元,事业单位,广州物联网研究院,20人以下,物联网,全栈开发：1. 负责Web应用及移动端的前后端开发，独立完成从需求分析、架构设计到代码实现的全流程工作。2. 主导高并发、高可用系统的设计与优化，包括数据库设计、API开发（RESTful规范）、前端交互实现等。3. 使用现代化技术栈：如React/Vue + Python（如 FastAPI 、Django）或next.js或Nuxt.js搭建可维护的组件化架构。任职要求：1. 本科及以上学历，计算机相关专业，2年以上软件开发经验；2. 要求有很强的学习能力，对前沿的技术有浓厚的研究学习兴趣；3. 掌握MySQL数据库设计与优化，熟悉Redis等缓存技术；4. 良好的编码习惯和团队协作能力；5. 熟悉python的优先，有相关证书的优先。,广州物联网研究院（简称“物联院”，原“广州中国科学院计算机网络信息中心”）是由广州市人民政府、广州南沙开发区管理委员会及中国科学院计算机网络信息中心三方共建的广州市市属事业单位，隶属于广州市科学技...
DEV-BE-0023,中高级java工程师,广州·越秀·六榕,1.5-1.6万,民营,丰石科技,100-299人,互联网,工作职责1. 基于 Dify平台，进行智能体（AI Agent）的工作流编排、调试、优化，实现自动化任务处理，数据分析等AI应用场景；2. 解决项目或产品中的架构和功能问题；3. 与技术负责人沟通开发任务和项目进度；4. 带领开发团队成员一起负责软件产品的设计、编码、单元测试工作；5. 独立完成 Java 后端代码的编写、重构与优化，解决开发过程中的复杂技术难题，提升代码质量与系统运行效率；6. 跟客户直接沟通交流，编写相关方案、汇报材料等。任职资格1. 计算机相关专业，本科及以上学历，5年以上开发工作经验；2.熟悉 Dify平台，熟练掌握其API调用与模型部署流程，有智能体编排经验，能独立完成工作流设计。3. 精通 Java 基础（集合、多线程、IO/NIO、JVM 等），深入理解 JVM 内存模型、垃圾回收机制，能进行 JVM 性能调优。4.熟悉常见的J2EE技术及微服务框架，理解核心原理与设计思路，如SpringMVC、SpringBoot、Spring Cloud、Mybatis等；5. 熟悉对Mysql、Oracle、达梦数据库等数据库，有国产化数据库实操经验，熟悉SQL语句调优、性能优化的优先；6. 熟悉分布式系统设计思想，掌握分布式事务、分布式锁、服务注册与发现、负载均衡等核心技术；7.有系统架构设计经验优先；8.有亿级数据并发处理、有物联网设备对接、视频流处理应项目经验；9.有研发团队管理经验者优先。,丰石科技立足于移动互联网大数据应用研发及服务，以擅长电信网络数据和管道能力的优势，搭建起大数据、物联网与商业应用的桥梁，为客户提供智慧交通、智慧旅游、精准营销、智慧金融、平安城市等产品与服务。...
DEV-GEN-0010,软件开发工程师,广州·南沙·东涌,1.2-2万,其它,六福珠宝(广州)有限公司,1000-9999人,珠宝/首饰,"岗位职责:1、负责后端系统架构体系规划，设计，建设和优化；2、负责后端工具，公共库，平台组件等开发和维护。任职要求： 1、本科及以上学历，计算机相关专业； 2、有Go语言开发经验，了解Gin，Echo等开发框架； 3、具备python语言开发经验，对人工智能有一定了解； 4、熟悉Mysql, sql server , postgresql 其中一种，具良好沟通及团队协作能力； 5、负责过电商某块具体业务，比如有秒杀、优惠券、订单、支付、结算等相关工作经验或对redis、mq 有一定了解者优先； 6、对redis、mq 有一定了解者优先考虑。   本网站发布的薪资范围仅作为参考，不代表最终薪资，实际的薪资将根据您的技能、经验、面试表现等因素确定。","六福集团成立于1991年，于1997年5月于香港交易所上市（股份代号：00590.HK），致力为顾客提供品质优良的产品及卓越的服务。集团现时在全球拥有逾3,360个零售点。展望未来，集团将聚焦于中国主要市场，进一步..."
PM-PROJ-0010,软件项目经理,广州·白云·白云湖,2-4万·13薪,民营,四川易创天宇科技有限公司,20-99人,计算机软件,岗位内容：1. 管理IT项目的整个生命周期，包括需求分析、规划、实施、测试、发布和维护。2. 在各种类型的IT项目实践和敏捷开发方法来推进项目。3. 设计项目计划、资源计划和成本估算，确保项目按计划、按预算执行。4. 进行风险评估和管理，根据实际情况做出决策，及时解决问题并保持项目进展。任职要求：1. 有丰富的IT项目管理经验，能够应对各种类型的IT项目管理挑战。2. 熟悉敏捷开发流程和工具，可以根据需要进行适当的调整和改进。3. 具备优秀的领导和协调能力，能够有效地管理并激励团队成员。4. 具备良好的沟通能力和解决问题的能力，能够在压力下快速做出决策。,一般项目:技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广;大数据服务;数据处理服务;数据处理和存储支持服务;信息系统集成服务;‖信息技术咨询服务;信息系统运行维护服务;信息咨询服务(不含许可类信...
OTH-OTH-0017,电脑维修,广州·花都·花山,2000-3000元,20人以下,广州市花都区狮岭粤诚电脑维修店,IT服务,,电脑店招聘招电脑感兴趣，师傅手把手认真带不藏私，教装机，网络，维修，监控等等。不缺单，上手就派单，包吃包住。具体详聊1??情绪稳定，动不动撂挑子的就不要浪费彼此时间2??没有长期选择这行业的意愿勿扰3??没有学习的耐心，和动手能力的勿扰#电脑 #电脑知识 #招人 #不限年龄不限学历 #零基础学电脑 #学技术,
DEV-BE-0024,java开发工程师,广州·南沙·南沙,1-2万,民营,广东智帆海洋科技有限公司,100-299人,计算机软件,【岗位职责】1、根据需求进行Java代码编写和开发，遵循开发规范和流程。2、参与系统设计和模块开发，与团队成员协作完成项目任务。3、进行代码测试和调试，修复代码缺陷，优化代码性能。4、协助架构师进行技术选型和方案实施，学习新技术提升开发能力。5、编写技术文档，记录开发过程和技术要点，便于维护和交流。【任职要求】1、学历背景：计算机相关专业，本科及以上学历。2、工作经验：3~5年Java开发经验，熟悉常用开发框架和工具，有实际项目经验。3、专业技能：精通spring cloud，掌握数据库操作，熟悉Web开发技术。4、能力素质：具备良好的编码习惯、问题解决和团队协作能力。【为什么选择我们？】我们鼓励并坚持自下而上的管理理念，挖掘每一位员工的能力。公司通过系统化的项目实践平台与管理赋能机制，为优秀的员工提供参与项目运作及跨部门协作管理的机会。我们关心员工的个人成长，相信用人所长才能创造团队的最大价值。我们注重员工的专业学习与沉淀，我们相信慢即是快。为你提供不拘泥于固定的工作内容。你将在各类型项目、研究中快速学习和突破，迅速提升核心能力，从专才到通才，与公司共同发展。我们推崇并践行坦诚、直接的内部文化。这不仅仅是为了创造舒适、高效的沟通环境，更是为了帮助每个人直面自己的不足，获得真正的成长。【我们的福利】工作地点：广州南沙区4号线南横地铁站附近工作时间：五天8小时制，周末双休，工作与家庭兼顾工作环境：舒适、优美、高效工作氛围：灵活、开放、创新、有追求薪酬福利：根据岗位性质提供具有市场竞争力的薪酬水平员工保障：入职即购买五险一金，各种补贴等带薪假期：法定假期按国家政策休假,【公司介绍】智帆海洋科技是一家领先的海洋监测设备研发、海事业务系统解决方案以及海洋数据服务提供商，我们通过创新的数据采集和智能化技术，致力于为客户提供全方位的海事解决方案，助力客户在复杂的海洋环境...
DEV-BE-0025,Java后端开发工程师,广州·番禺·东环,1.2-1.6万,上市公司,汉得信息,10000人以上,计算机软件,"工作职责1、负责具体软件开发、系统方案评估、数据结构设计，参与项目整体实施过程。2、配合项目组完成项目的开发、测试等工作，确保项目顺利上线。3、负责完成技术调研并解决项目中的技术难点。4、有良好的抗压能力、沟通能力、学习能力、工作态度、较好的团队协作能力、责任心强。任职资格1、本科计算机相关专业2、具备JAVA扎实编程语言能力3、掌握关系型数据库的开发（MYSQL,ORACLE）4 有SPRING-BOOT架构代码编写经验5 如果有项目要可以接受3-6个月的中长期出差6 熟悉SSM,Spring Cloud并有相关微服务项目经验者优先7、具备基本的linux操作知识经验者优先8 有ACM刷题经历，运筹学算法相关学习经历者优先",上海汉得信息技术股份有限公司（以下简称“汉得”），其前身可以追溯到1996年成立的“上海汉得计算机服务有限公司”，是中国成立较早的本地化的ERP咨询实施公司之一。2011年2月1日，在深圳证券交易所创业...
DEV-BE-0026,Java开发（SCRM系统）,广州·海珠·琶洲,1-1.5万,上市公司,软通动力信息技术(集团)股份有限公司,10000人以上,互联网,工作内容：根据需求完成系统功能的设计和开发，确保代码的质量和可靠性；进行系统的测试和调试，修复bug并优化系统性能；撰写相关的技术文档和用户手册，方便团队和用户的使用和维护；参与团队的协作工作，包括代码评审和技术交流等。岗位要求：计算机科学或相关专业的本科及以上学历；熟练掌握JAVA开发语言和相关技术；具备使用Spring、Hibernate等常用JAVA框架的经验者优先；熟悉数据库设计和SQL语言者优先；具备良好的团队合作能力和沟通能力。 加分项：  有SCRM系统开发经验,软通动力信息技术（集团）股份有限公司（以下简称“软通动力”）是中国领先的全栈智能化产品与服务提供商，2005年成立于北京，始终坚持创新，致力于成为一家具有全球影响力的科技企业。公司提供软件与数字技术...
DEV-BE-0027,高级Java开发工程师RAG方向（外包）,广州·海珠·琶洲,1.5-2万,上市公司,彩讯科技股份有限公司,1000-9999人,计算机软件,高级Java开发工程师（RAG方向） 岗位职责 1. 负责基于检索增强生成（RAG） 技术的大模型应用核心模块设计与开发，包括知识库构建、文档解析与向量化、检索策略优化、prompt工程等关键环节。2. 参与RAG系统架构设计，解决大模型幻觉、检索精度、响应速度等核心问题，提升系统的准确性与稳定性。3. 对接主流向量数据库（如Milvus、Pinecone、Elasticsearch），设计并优化向量存储、索引构建及检索链路。4. 协同算法团队完成RAG相关算法落地，包括语义检索、混合检索、知识融合等功能的工程实现与性能调优。5. 负责代码质量管控，编写技术文档，指导初级开发工程师开展工作。 任职要求 1. 本科及以上学历，计算机相关专业，5年以上Java开发经验，至少1年以上RAG项目实战经验。2. 精通Java基础及并发编程，熟练掌握Spring Boot、Spring Cloud等微服务框架，具备分布式系统开发能力。3. 熟悉RAG技术原理与核心流程，掌握文档分块、文本向量化、向量检索、prompt优化等关键技术。4. 熟练使用至少一种向量数据库，具备向量索引设计、检索性能调优经验；熟悉主流大模型API（如GPT、文心一言、通义千问）对接与调用。5. 掌握Elasticsearch等搜索引擎的使用与优化，具备全文检索、语义检索混合方案设计经验者优先。6. 具备良好的问题分析与解决能力，有较强的逻辑思维和技术攻坚能力。7. 拥有良好的团队协作意识和沟通能力，能够承受一定的项目压力。 加分项 1. 有大模型应用落地项目经验，或参与过企业级知识库、智能问答系统开发优先。2. 熟悉LLM微调、LangChain框架使用经验者优先。3. 具备开源社区贡献经验，或有相关技术博客、专利者优先。,彩讯股份(证券代码:300634)创始于2004年，是国家高新技术企业，国家鼓励的重点软件企业，全国设有北京、广州、深圳、杭州、成都五大研发中心，目前已成功为1600多家行业客户提供数智化综合解决方案，业务覆盖电...
DEV-BE-0028,后端java架构,广州·越秀·北京街道,1.5-1.8万,100-299人,广西卓聘人力资源服务有限公司,人力资源服务,,工作内容： 根据需求完成系统功能的设计和开发，确保代码的质量和可靠性； 进行系统的测试和调试，修复bug并优化系统性能； 撰写相关的技术文档和用户手册，方便团队和用户的使用和维护； 参与团队的协作工作，包括代码评审和技术交流等。岗位要求： 计算机科学或相关专业的本科及以上学历； 熟练掌握JAVA开发语言和相关技术； 具备使用Spring、Hibernate等常用JAVA框架的经验者优先； 熟悉数据库设计和SQL语言者优先； 具备良好的团队合作能力和沟通能力。,
DEV-GEN-0011,软件开发工程师,广州·番禺·钟村,2-4万·14薪,民营,广州市众怀创办公设备有限公司,20人以下,办公用品/设备,工作职责：1、负责MCU底层软件开发、配置、集成、测试、分析及问题解决；2、负责CAN、Lin协议驱动开发、基于UDS的bootloader及OTA功能开发，能根据客户需求及网络安全需求进行相关功能开发；3、负责底层软件开发文档的编写，制订测试方案，并完成测试工作；4、基于vs的上位机制作用于调试测试；；5、协助硬件、系统、实验室完成相关工作；6、完成上级领导安排的其它临时性工作。岗位要求：1、熟练使用C、C++、VC等编程语言，熟悉IAR/KEIL等开发环境使用；2、熟悉CAN、LIN协议及bootloader，uds诊断；3、熟悉CANoe使用，能够使用CANoe进行相关工作；4、熟悉AUTOSAR软件开发、熟悉网络安全分析及控制策略；5、熟悉汽车控制软件开发流程；,
MIS-INF-0028,IT实习生,广州·海珠·琶洲,120-130元/天,民营,安徽中安润微科技有限公司,100-299人,IT服务,负责响应用户IT问题的报障，并准确记录信息、录入工单、分派工单；2) 根据用户报告的请求或者事件信息，通过ITSM系统记录用户信息及需求，判断服务类型、优先级进行远程支持；3）通过飞书等协助工具等或电话指导等方式协助用户在线解决问题；4) 负责工单跟踪，从用户报修到工单完成闭环，跟踪整个工单服务过程及协调解决；5）知识案例文档/FAQ文档编写，对新员工进行IT部分的培训。1）大专以上学历；3）具有呼叫中心、电话客服相关经验优先；4）服务态度端正，具备良好的服务意识、沟通能力；5）积极配合上级的工作安排。,安徽中安润微科技有限公司，是一家专业从事软件技术服务，研发技术人才外包，政府、企事业信息化软件定制开发、销售与运维服务的高科技企业。公司成立于2017年，注册资本1000万元。中安润微坐落在(安徽)自由贸...
